tractkids,pop2010,percent_of_kids,povertyrate,,,,,POP2010,"Population, tract total"
NULL,2530,NULL,44.5,,,,,,
NULL,2948,NULL,29.2,,,,,,
NULL,5012,NULL,24.3,,,,,,
NULL,4444,NULL,19.2,,,,,,
NULL,4481,NULL,18.2,,,,,,
NULL,3306,NULL,13.7,,,,,,
NULL,3957,NULL,20.4,,,,,,
NULL,3794,NULL,19.6,,,,,,
NULL,3757,NULL,45.1,,,,,,
NULL,4018,NULL,27.8,,,,,,
NULL,3376,NULL,33.2,,,,,,
NULL,4693,NULL,6.4,,,,,,
NULL,5318,NULL,30.6,,,,,,
NULL,7280,NULL,7.8,,,,,,
NULL,3861,NULL,10.9,,,,,,
NULL,4778,NULL,4.7,,,,,,
NULL,5416,NULL,8,,,,,,
NULL,8789,NULL,7.8,,,,,,
NULL,4858,NULL,10.6,,,,,,
NULL,4327,NULL,3.6,,,,,,
NULL,6115,NULL,3.8,,,,,,
NULL,9853,NULL,7,,,,,,
NULL,5875,NULL,11.4,,,,,,
NULL,5690,NULL,10,,,,,,
NULL,8260,NULL,2.6,,,,,,
NULL,3194,NULL,16,,,,,,
NULL,7410,NULL,6.8,,,,,,
NULL,2588,NULL,19.9,,,,,,
NULL,7755,NULL,5.3,,,,,,
NULL,1947,NULL,36.8,,,,,,
NULL,4134,NULL,12.6,,,,,,
NULL,4319,NULL,21.1,,,,,,
NULL,5926,NULL,9.6,,,,,,
NULL,5288,NULL,11.3,,,,,,
NULL,7741,NULL,8.6,,,,,,
NULL,5947,NULL,9.6,,,,,,
NULL,4779,NULL,3.3,,,,,,
NULL,7555,NULL,3.5,,,,,,
NULL,4340,NULL,3.8,,,,,,
NULL,5407,NULL,8.2,,,,,,
NULL,3025,NULL,3.6,,,,,,
NULL,5642,NULL,10.1,,,,,,
NULL,5752,NULL,4.1,,,,,,
NULL,8211,NULL,5.1,,,,,,
NULL,2665,NULL,16.9,,,,,,
NULL,5486,NULL,3.3,,,,,,
NULL,7663,NULL,6.6,,,,,,
NULL,5486,NULL,2.8,,,,,,
NULL,3883,NULL,6.9,,,,,,
NULL,7617,NULL,6.1,,,,,,
NULL,4100,NULL,2.6,,,,,,
NULL,6066,NULL,8.8,,,,,,
NULL,7093,NULL,13.4,,,,,,
NULL,3174,NULL,11.4,,,,,,
NULL,3127,NULL,3.6,,,,,,
NULL,3894,NULL,4.9,,,,,,
NULL,4175,NULL,7.3,,,,,,
NULL,5207,NULL,3.1,,,,,,
NULL,7561,NULL,4.9,,,,,,
NULL,4521,NULL,8.7,,,,,,
NULL,7199,NULL,5.7,,,,,,
NULL,4748,NULL,9.1,,,,,,
NULL,7802,NULL,6.5,,,,,,
NULL,5378,NULL,8.9,,,,,,
NULL,7024,NULL,8.5,,,,,,
NULL,7868,NULL,11.4,,,,,,
NULL,5000,NULL,7.2,,,,,,
NULL,3708,NULL,16.1,,,,,,
NULL,5710,NULL,8.9,,,,,,
NULL,4994,NULL,9,,,,,,
NULL,6624,NULL,9.8,,,,,,
NULL,4265,NULL,4.8,,,,,,
NULL,4625,NULL,2.4,,,,,,
NULL,7447,NULL,6.2,,,,,,
NULL,3080,NULL,8.6,,,,,,
NULL,8695,NULL,16.4,,,,,,
NULL,4229,NULL,6.3,,,,,,
NULL,2484,NULL,4.4,,,,,,
NULL,3045,NULL,6.8,,,,,,
NULL,5565,NULL,26.6,,,,,,
NULL,4740,NULL,5.8,,,,,,
NULL,9175,NULL,7.7,,,,,,
NULL,3815,NULL,3.2,,,,,,
NULL,4605,NULL,3.7,,,,,,
NULL,3776,NULL,4,,,,,,
NULL,6991,NULL,5.9,,,,,,
NULL,5220,NULL,5.5,,,,,,
NULL,5131,NULL,18.4,,,,,,
NULL,5408,NULL,9.9,,,,,,
NULL,5654,NULL,5.3,,,,,,
NULL,7657,NULL,8.3,,,,,,
NULL,6897,NULL,11.7,,,,,,
NULL,4670,NULL,13.6,,,,,,
NULL,5190,NULL,6.4,,,,,,
NULL,5634,NULL,10.1,,,,,,
NULL,3791,NULL,6.3,,,,,,
NULL,7741,NULL,9.1,,,,,,
NULL,4446,NULL,39,,,,,,
NULL,4370,NULL,9.7,,,,,,
NULL,1976,NULL,24,,,,,,
NULL,3975,NULL,25.9,,,,,,
NULL,1981,NULL,52.8,,,,,,
NULL,1284,NULL,37,,,,,,
NULL,2032,NULL,35.4,,,,,,
NULL,4131,NULL,23.2,,,,,,
NULL,1825,NULL,40.3,,,,,,
NULL,1699,NULL,25.1,,,,,,
NULL,4127,NULL,8.7,,,,,,
NULL,3393,NULL,4.3,,,,,,
NULL,5185,NULL,12.7,,,,,,
NULL,2466,NULL,9,,,,,,
NULL,3452,NULL,9,,,,,,
NULL,3083,NULL,10.6,,,,,,
NULL,2350,NULL,12,,,,,,
NULL,2867,NULL,13.5,,,,,,
NULL,6216,NULL,2.9,,,,,,
NULL,3283,NULL,9.3,,,,,,
NULL,5031,NULL,9.7,,,,,,
NULL,4182,NULL,16.2,,,,,,
NULL,2481,NULL,7.1,,,,,,
NULL,4487,NULL,9.8,,,,,,
NULL,2219,NULL,6.7,,,,,,
NULL,4176,NULL,11.9,,,,,,
NULL,4141,NULL,12.4,,,,,,
NULL,2145,NULL,9.2,,,,,,
NULL,2551,NULL,16.8,,,,,,
NULL,4810,NULL,26.5,,,,,,
NULL,4990,NULL,29,,,,,,
NULL,4336,NULL,29.7,,,,,,
NULL,3965,NULL,31,,,,,,
NULL,3776,NULL,12.2,,,,,,
NULL,3600,NULL,17.1,,,,,,
NULL,3151,NULL,7.3,,,,,,
NULL,5007,NULL,6.6,,,,,,
NULL,6460,NULL,4.4,,,,,,
NULL,2801,NULL,7.2,,,,,,
NULL,2381,NULL,2.4,,,,,,
NULL,4767,NULL,10.7,,,,,,
NULL,2080,NULL,3.9,,,,,,
NULL,5884,NULL,3.3,,,,,,
NULL,5545,NULL,10.2,,,,,,
NULL,8163,NULL,3,,,,,,
NULL,3062,NULL,13.5,,,,,,
NULL,5411,NULL,10.1,,,,,,
NULL,4069,NULL,4.5,,,,,,
NULL,4310,NULL,3.8,,,,,,
NULL,2700,NULL,9.6,,,,,,
NULL,2453,NULL,13.6,,,,,,
NULL,4986,NULL,7.4,,,,,,
NULL,3348,NULL,17.5,,,,,,
NULL,2850,NULL,8.5,,,,,,
NULL,8068,NULL,1.2,,,,,,
NULL,3500,NULL,16,,,,,,
NULL,3820,NULL,10.6,,,,,,
NULL,6991,NULL,6.9,,,,,,
NULL,2172,NULL,6.4,,,,,,
NULL,4112,NULL,4.8,,,,,,
NULL,3661,NULL,17.2,,,,,,
NULL,4150,NULL,11.2,,,,,,
NULL,3548,NULL,24.5,,,,,,
NULL,2646,NULL,32.4,,,,,,
NULL,6243,NULL,21.9,,,,,,
NULL,4056,NULL,30.2,,,,,,
NULL,4083,NULL,46.5,,,,,,
NULL,1852,NULL,29.6,,,,,,
NULL,3151,NULL,43.7,,,,,,
NULL,2463,NULL,47.9,,,,,,
NULL,7226,NULL,17.2,,,,,,
